1D,,2D,,p.frac,,d.frac,,
PSNR,SSIM,PSNR,SSIM,PSNR,SSIM,PSNR,SSIM,
33.06033,0.94008,34.77698,0.89991,33.22948,0.91959,32.9699,0.90469,
33.90741,0.94636,35.13968,0.90063,34.55133,0.93098,33.94305,0.91606,
35.43998,0.95154,36.09213,0.91232,36.40183,0.93711,36.21525,0.92785,
34.79807,0.95203,35.71806,0.90343,36.28642,0.93867,36.19894,0.92802,
35.14622,0.95333,35.93505,0.90511,36.9027,0.94515,36.62632,0.93248,
32.38819,0.94004,34.43196,0.90151,32.54329,0.91584,32.43826,0.90366,
34.05056,0.94898,35.10583,0.90155,35.01175,0.93467,34.61426,0.9213,
34.81514,0.94897,35.16394,0.89862,35.72132,0.93633,35.52876,0.92466,
35.35892,0.94546,36.17727,0.90585,36.25629,0.93343,36.20578,0.92211,
34.49468,0.94401,35.53632,0.89893,35.40725,0.93009,35.44447,0.91814,
34.05926,0.94224,35.43136,0.90318,35.09267,0.9264,35.02821,0.91774,
34.17316,0.94501,35.32332,0.89983,35.70307,0.93316,35.72123,0.92091,
30.83347,0.91913,32.56957,0.87203,31.22673,0.89833,30.93845,0.88023,
32.9679,0.939,33.46956,0.8794,33.5609,0.91887,33.26028,0.90411,
31.00138,0.92181,32.6196,0.87685,31.28246,0.89967,30.91151,0.88216,
32.20192,0.94418,33.40141,0.88456,32.96828,0.92429,32.49746,0.90942,
32.88167,0.93094,34.4193,0.89093,32.74405,0.89962,32.56057,0.87613,
33.44755,0.93812,34.67236,0.8933,33.61809,0.91525,33.10076,0.8852,
34.08658,0.95245,35.16217,0.90482,35.15268,0.93955,34.41794,0.91939,
32.27947,0.93564,33.66817,0.88907,32.71782,0.91061,32.37901,0.89164,
33.95158,0.94412,34.5817,0.89563,34.58467,0.9294,33.83405,0.91302,
34.43171,0.9446,34.963,0.89606,35.10896,0.93256,34.76994,0.91937,
34.2139,0.94738,34.99743,0.90331,35.34092,0.93818,34.84723,0.92422,
34.60385,0.95365,35.07259,0.89986,35.35089,0.94115,34.71864,0.92523,
32.96455,0.93344,34.77352,0.89984,33.76845,0.92324,33.15527,0.90019,
32.86525,0.93911,34.16484,0.89896,32.88153,0.9177,32.37946,0.9006,
34.90696,0.95924,35.64955,0.90914,35.93568,0.94793,35.38765,0.933,
34.55035,0.94777,35.09276,0.89923,35.09262,0.93536,34.95161,0.92368,
34.17799,0.95389,34.95452,0.89913,35.34237,0.94224,34.64062,0.92814,
33.29696,0.94366,34.90126,0.90633,33.74563,0.92628,33.27095,0.91175,
33.07823,0.9416,34.47206,0.8979,33.39019,0.92151,32.83189,0.90773,
32.90884,0.94029,34.49592,0.8969,33.58472,0.92223,32.76034,0.90743,
32.58987,0.93619,34.10447,0.89585,32.98696,0.92113,32.52816,0.89967,
32.95926,0.94018,34.63423,0.9017,33.67699,0.92579,33.30021,0.91164,
34.48136,0.9519,35.17674,0.90503,35.37038,0.93775,34.80388,0.92381,
35.17325,0.95798,35.79285,0.91228,36.16378,0.94494,35.82701,0.93242,
33.79989,0.94345,34.87606,0.90025,34.5714,0.9311,33.80553,0.91295,
33.87405,0.94765,34.85723,0.89982,34.91463,0.93626,34.64027,0.92314,
32.22546,0.93224,34.10532,0.89776,32.63282,0.91208,32.25969,0.89341,
34.87235,0.9519,35.6274,0.90625,35.99602,0.93849,35.50937,0.92558,
35.19491,0.95238,35.47541,0.89884,36.02363,0.94141,36.17846,0.92968,
32.98503,0.93197,34.75496,0.89908,32.76212,0.90598,32.70161,0.8947,
34.39287,0.9451,35.34634,0.90179,34.54045,0.925,34.39104,0.91273,
32.51007,0.93303,34.46483,0.89596,32.82676,0.91267,32.26709,0.89106,
34.73922,0.94608,36.97889,0.91731,35.80569,0.93118,35.62835,0.91651,
36.19204,0.95166,37.83009,0.92503,37.74149,0.94531,37.22233,0.92636,
33.25165,0.93565,35.07212,0.90462,33.30943,0.91347,33.23998,0.89995,
34.15658,0.94813,35.38541,0.90138,35.56136,0.94033,35.37859,0.92571,
34.23648,0.95311,35.1078,0.89984,35.67061,0.94205,35.4562,0.92691,
34.10385,0.94024,35.05502,0.90241,34.28483,0.92216,33.88827,0.90665,
32.46786,0.94029,34.46711,0.9069,32.34674,0.91435,32.01691,0.89968,
34.46597,0.95656,35.28269,0.90359,35.72432,0.94455,35.63135,0.93332,
31.84334,0.93075,33.53819,0.88747,31.46382,0.90126,31.22741,0.88201,
33.03149,0.9386,34.3989,0.8871,33.5906,0.9226,33.4334,0.90678,
